THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
cheap|stay,Séjour pas cher à l'hôtel,Séjours pas chers à l'hôtel,Hôtel,Hôtels,property_type,Séj_Hôtel_Abord
cheapest|hotel,Hôtel le moins cher,Hôtels les moins chers,Hôtel,Hôtels,property_type,Hôtels_Abord
cheese,Hôtel pour amateur de fromage,Hôtels pour amateurs de fromage,Hôtel,Hôtels,property_type,Hôtels_Fromage
childcare,Hôtel avec garderie,Hôtels avec garderie,Hôtel,Hôtels,property_type,HôtelsGarderie
chinatown,Hôtel à Chinatown,Hôtels à Chinatown,Hôtel,Hôtels,property_type,Hôtls_Chinatown
chocolate,Hôtel près de chocolateries,Hôtels près de chocolateries,Hôtel,Hôtels,property_type,Hôtel_Chocolate
christmas,Hôtel pour les vacances de Noël,Hôtels pour les vacances de Noël,Hôtel,Hôtels,property_type,Hôtel_Noël
churches,Hôtel proche d’une église,Hôtels proches d’une église,Hôtel,Hôtels,property_type,Hôtels_Églises
clean,Hôtel propre,Hôtels propres,Hôtel,Hôtels,property_type,Hôtels_Propres
clearwaterbeach,Hôtel près de Clearwater Beach,Hôtels près de Clearwater Beaches,Hôtel,Hôtels,property_type,ClearWaterBeach
clubhouse,Club-house,Club-houses,Club-house,Club-houses,property_type,Club-houses
cocktails,Hôtel près de bars à cocktails,Hôtels près de bars à cocktails,Hôtel,Hôtels,property_type,Hôtels_Cocktail
coffee,Hôtel avec café,Hôtels avec café,Hôtel,Hôtels,property_type,Hôtels_Café
coffeemaker,Hôtel avec machine à café,Hôtels avec machine à café,Hôtel,Hôtels,property_type,HôtelMachCafé
comparison,Comparaison d'hôtels,Comparaisons d'hôtels,Hôtel,Hôtels,property_type,Comparer_Hôtels
concierge,Hôtel avec concierge,Hôtels avec concierge,Hôtel,Hôtels,property_type,Hôtel_Concierge
conferencecenter,Hôtel avec centre de conférence,Hôtels avec centre de conférence,Hôtel,Hôtels,property_type,HôtelCentreConf
cottage,Cottage,Cottages,Cottage,Cottages,property_type,Cottages
countryhouse,Maison de campagne,Maisons de campagne,Maison de campagne,Maisons de campagne,property_type,Maisons_Campa
countryside,Hôtel à la campagne,Hôtels à la campagne,Hôtel,Hôtels,property_type,Campagne
couple,Hôtel pour couples,Hôtels pour couples,Hôtel,Hôtels,property_type,Hôtels_Couples
coupon|hotel,Bon d'hôtel,Bons d'hôtel,Hôtel,Hôtels,property_type,Bons_Hôtel
crosscountryskiing,Hôtel proche d’une piste de ski de fond,Hôtels proches d’une piste de ski de fond,Hôtel,Hôtels,property_type,SkiDeFond
culture,Hôtel proche de sites culturels,Hôtels proches de sites culturels,Hôtel,Hôtels,property_type,Hôtels_Culture
dancing,Hôtel proche d’un dancing,Hôtels proches d’un dancing,Hôtel,Hôtels,property_type,Hôtels
deal,Offre sur les hôtels,Offres sur les hôtels,Hôtel,Hôtels,property_type,Offres_Hôtel
deal|hotel,Offre sur les hôtels,Offres sur les hôtels,Hôtel,Hôtels,property_type,Offres_Hôtel
deal|hotel|lastminute,Offre de dernière minute sur les hôtels,Offres de dernière minute sur les hôtels,Hôtel,Hôtels,property_type,OffreQuickHôtel
deal|hotel|offer,Offre sur les hôtels,Offres et promotions sur les hôtels,Hôtel,Hôtels,property_type,OffrePromoHôtel
deal|hotel|secluded,Offre sur hôtel retiré,Offres sur hôtels retirés,Hôtel,Hôtels,property_type,Offr_Hôt_Ret
deal|lastminute|resort,Offre de dernière minute sur les complexes touristiques,Offres de dernière minute sur les complexes touristiques,Complexe touristique,Complexes touristiques,property_type,Comp-Dern_Min
deal|lastminute|suites,Offre de dernière minute sur suites,Offres de dernière minute sur suites,Suite,Suites,property_type,OffreDernminSui
deals,Offre sur les hôtels,Offres sur les hôtels,Hôtel,Hôtels,property_type,Offres_Hôtel
default,Hôtel,Hôtels,Hôtel,Hôtels,property_type,Hôtels
dining,Hôtel avec restauration,Hôtels avec restauration,Hôtel,Hôtels,property_type,Hôtels_Restau
discount,Réduction sur les hôtels,Réductions sur les hôtels,Hôtel,Hôtels,property_type,Réduc_Hôtel
discount|hotel,Réduction sur les hôtels,Réductions sur les hôtels,Hôtel,Hôtels,property_type,Réduc_Hôtel
discount|hotel|suites,Réduction sur suites d’hôtel,Réductions sur suites d’hôtel,Suite d’hôtel,Suites d’hôtel,property_type,RéducSuitesHôt
diving,Hôtel près de plongée,Hôtels près de plongée,Hôtel,Hôtels,property_type,Hôtels_Plongée
dolphins,Hôtel près de sites pour voir les dauphins,Hôtels près de sites pour voir les dauphins,Hôtel,Hôtels,property_type,Hôtels_Dauphins
dormitory,Dortoir,Dortoirs,Dortoir,Dortoirs,property_type,Dortoirs
downtown,Hôtel de centre-ville,Hôtels de centre-ville,Hôtel,Hôtels,property_type,Hôtels_CV
easter,Hôtel pour les vacances de Pâques,Hôtels pour les vacances de Pâques,Hôtel,Hôtels,property_type,Hôtels_Pâques
ecofriendly,Hôtel d'éco-tourisme,Hôtels d'éco-tourisme,Hôtel,Hôtels,property_type,HôtelsÉcoTour
economy,Hôtel économique,Hôtels économiques,Hôtel,Hôtels,property_type,Hôtels_Éco
ecotourism,Hôtel proche d’un site d’écotourisme,Hôtels proches d’un site d’écotourisme,Hôtel,Hôtels,property_type,HôtelÉcotourism
electrickettle,Hôtel avec bouilloire électrique,Hôtels avec bouilloire électrique,Hôtel,Hôtels,property_type,HôtelBouilÉlec
entertainment,Hôtel près de divertissements,Hôtels près de divertissements,Hôtel,Hôtels,property_type,Réduc_Hôtel
excursions,Hôtel proposant des excursions,Hôtels proposant des excursions,Hôtel,Hôtels,property_type,HôtelExcursions
expensive,Hôtel cher,Hôtels chers,Hôtel,Hôtels,property_type,Hôtels_Chers
extended_stay,Hôtel pour séjour de longue durée,Hôtels pour séjour de longue durée,Hôtel,Hôtels,property_type,HôtelLongSéjour
extendedstay,Hôtel pour séjour de longue durée,Hôtels pour séjour de longue durée,Hôtel,Hôtels,property_type,HôtelLongSéjour
familybeach,Hôtel proche d’une plage idéale pour les familles,Hôtels proches d’une plage idéale pour les familles,Hôtel,Hôtels,property_type,Hôtel_Plag_Fami
familyfriendly,Hôtel idéal pour les familles,Hôtels idéaux pour les familles,Hôtel,Hôtels,property_type,Hôtels_Famille
familyfriendly|hotel,Hôtel idéal pour les familles,Hôtels idéaux pour les familles,Hôtel,Hôtels,property_type,Hôtels_Famille
familyfriendly|resort,Complexe touristique pour les familles,Complexes touristiques pour les familles,Complexe,Complexes,property_type,Complexes_Famil
ferry,Hôtel proche du ferry,Hôtels proches du ferry,Hôtel,Hôtels,property_type,Hôtels_Ferry
festivals,Hôtel pour festivals,Hôtels pour festivals,Hôtel,Hôtels,property_type,HôtelsFestivals
fireplace,Hôtel avec cheminée,Hôtels avec cheminées,Hôtel,Hôtels,property_type,Hôtel_Cheminée
fishing,Hôtel près de sites de pêche,Hôtels près de sites de pêche,Hôtel,Hôtels,property_type,Hôtels_Pêche
fitnesscenter|hotel|nearme|spa,Hôtel avec spa et centre de remise en forme autour de vous,Hôtels avec spas et centres de remise en forme autour de vous,Hôtel,Hôtels,property_type,HôtelSpaFitness
flat,Appartement,Appartements,Appartement,Appartements,property_type,Appartements
flowers,Hôtel près de jardins de fleurs,Hôtels près de jardins de fleurs,Hôtel,Hôtels,property_type,Hôtels_Fleurs
football,Hôtel pour les amateurs de football,Hôtels pour les amateurs de football,Hôtel,Hôtels,property_type,Hôtels_Football
forests,Hôtel près de forêts,Hôtels près de forêts,Hôtel,Hôtels,property_type,Hôtels_Forêts
freeairporttransportation,Hôtel avec transfert aéroport gratuit,Hôtels avec transfert aéroport gratuit,Hôtel,Hôtels,property_type,Trans_Aéro
freebreakfast,Hôtel avec petit-déjeuner gratuit,Hôtels avec petit-déjeuner gratuit,Hôtel,Hôtels,property_type,Hôtel_Pdj
freeinternet,Hôtel avec Internet gratuit,Hôtels avec Internet gratuit,Hôtel,Hôtels,property_type,Hôtel_Wifi_Grat
freeparking,Hôtel avec parking gratuit,Hôtels avec parking gratuit,Hôtel,Hôtels,property_type,Hôtel_Park_Grat
freewifi,Hôtel avec Wifi gratuit,Hôtels avec Wifi gratuit,Hôtel,Hôtels,property_type,Hôtel_Wifi_Grat
gardens,Hôtel près de jardins,Hôtels près de jardins,Hôtel,Hôtels,property_type,Hôtels_Jardins
glaciers,Hôtel près de glaciers,Hôtels près de glaciers,Hôtel,Hôtels,property_type,Hôtels_Glaciers
glamping,Glamping,Glamping,Glamping,Glamping,property_type,Glamping
golf,Hôtel près de parcours de golf,Hôtels près de parcours de golf,Hôtel,Hôtels,property_type,Hôtel_pr_Golf
golf|resort,Complexe touristique avec golf,Complexes touristiques avec golf,Complexe,Complexes,property_type,Complexes_Golf
group,Hôtel pour groupe,Hôtels pour groupes,Hôtel,Hôtels,property_type,HôtelspourGroup
guesthouse,Maison d'hôtes,Maisons d'hôtes,Maison d'hôtes,Maisons d'hôtes,property_type,Maisons_d'hôtes
healthclub,Hôtel avec club de sport,Hôtels avec clubs de sport,Hôtel,Hôtels,property_type,HôtelClubSport
hiking,Hôtel près de randonnée,Hôtels près de randonnées,Hôtel,Hôtels,property_type,Hôtels_Randonné
historical,Hôtel historique,Hôtels historiques,Hôtel,Hôtels,property_type,HôtelHistorique
hockey,Hôtel pour les amateurs de hockey,Hôtels pour les amateurs de hockey,Hôtel,Hôtels,property_type,Hôtels_Hockey
holiday,Hôtel pour les vacances,Hôtels pour les vacances,Hôtel,Hôtels,property_type,Hôtels_Vacances
hotel,Hôtel,Hôtels,Hôtel,Hôtels,property_type,Hôtel
hotel_all_inclusive,Hôtel tout compris,Hôtels tout compris,Hôtel,Hôtels,property_type,Hôtel_Tout_Com
hotel_cheap,Hôtel pas cher,Hôtels pas chers,Hôtel,Hôtels,property_type,Hôtels_Abordab
hotel_deal,Offre sur les hôtels,Offres sur les hôtels,Hôtel,Hôtels,property_type,Offres_Hôtel
hotel|lastminute,Hôtel de dernière minute,Hôtels de dernière minute,Hôtel,Hôtels,property_type,HôtelDernMin
hotel|lastminute|suites,Suite d’hôtel dernière minute,Suites d’hôtel dernière minute,Suite d’hôtel,Suites d’hôtel,property_type,SuiteQuickHôtel
hotel|lowcost,Hôtel low-cost,Hôtels low-cost,Hôtel,Hôtels,property_type,Hôtels_Low_Cost
hotel|near,Hôtel près de,Hôtels près de,Hôtel,Hôtels,property_type,Hôtels_près_de
hotel|nearme,Hôtel autour de vous,Hôtels autour de vous,Hôtel,Hôtels,property_type,Hôtels_aut_Vous
hotel|suites,Suite d’hôtel,Suites d’hôtel,Suite d’hôtel,Suites d’hôtel,property_type,Suites_Hôtel
hotels,Hôtel,Hôtels,Hôtel,Hôtels,property_type,Hôtels
hotsprings,Hôtel près de sources chaudes,Hôtels près de sources chaudes,Hôtel,Hôtels,property_type,HôtelSourcChaud
hottub,Hôtel avec jacuzzi,Hôtels avec jacuzzis,Hôtel,Hôtels,property_type,Hôtel_Avc_Jacuz
houseboat,Péniche,Péniches,Péniche,Péniches,property_type,Péniches
housekeeping,Hôtel avec ménage,Hôtels avec ménage,Hôtel,Hôtels,property_type,Ménage
hunting,Hôtel près de chasse,Hôtels près de chasse,Hôtel,Hôtels,property_type,Hôtels_Chasse
ideal,Hôtel idéal,Hôtels idéaux,Hôtel,Hôtels,property_type,Hôtels_Idéaux
indoorpool,Hôtel avec piscine couverte,Hôtels avec piscine couverte,Hôtel,Hôtels,property_type,HôtelPisCouv
indoorskiing,Hôtel près de ski indoor,Hôtels près de ski indoor,Hôtel,Hôtels,property_type,Ski_Indoor
inexpensive,Hôtel pas cher,Hôtels pas chers,Hôtel,Hôtels,property_type,Hôtels_PasChers
inn,Auberge,Auberges,Auberge,Auberges,property_type,Auberges
innertubing,Hôtel près de tubing,Hôtels près de tubing,Hôtel,Hôtels,property_type,HôtelsTubing
internet,Hôtel avec Internet,Hôtels avec Internet,Hôtel,Hôtels,property_type,Hôtels_Internet
islands,Hôtel dans les îles,Hôtels dans les îles,Hôtel,Hôtels,property_type,Hôtels_Îles
jacuzzi,Hôtel avec jacuzzi,Hôtels avec jacuzzis,Hôtel,Hôtels,property_type,Hôtels_Jacuzzi
jazz,Hôtel près de concerts de jazz,Hôtels près de concerts de jazz,Hôtel,Hôtels,property_type,Hôtels_Jazz
jungle,Hôtel dans la jungle,Hôtels dans la jungle,Hôtel,Hôtels,property_type,Hôtels_Jungle
kayaking,Hôtel près d’activité de kayak,Hôtelsprès d’activités de kayak,Hôtel,Hôtels,property_type,Hôtels_Kayak
kidfriendly,Hôtel idéal pour les enfants,Hôtels idéaux pour les enfants,Hôtel,Hôtels,property_type,Hôtels_Famille
kitchen,Hôtel avec cuisine,Hôtels avec cuisine,Hôtel,Hôtels,property_type,Hôtel_Cuisine
kitchenette,Hôtel avec coin cuisine,Hôtels avec coin cuisine,Hôtel,Hôtels,property_type,Hôtels_Cuisine
kitesurfing,Hôtel près de kitesurfing,Hôtels près de kitesurfing,Hôtel,Hôtels,property_type,Hôtels_Kitesurf
lake,Hôtel près d'un lac,Hôtels près d'un lac,Hôtel,Hôtels,property_type,Hôtels_Lac
lakeview,Hôtel avec vue sur le lac,Hôtels avec vue sur le lac,Hôtel,Hôtels,property_type,HôtelsVueLac
lastminute,Hôtel de dernière minute,Hôtels de dernière minute,Hôtel,Hôtels,property_type,HôtelDernMin
laundryfacilities,Hôtel avec laverie,Hôtels avec laverie,Hôtel,Hôtels,property_type,Hôtels_Laverie
