THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
accommodation|deal|offer,Offerta sugli alloggi,Offerte sugli alloggi,Alloggio,Alloggi,property_type,Offertealloggi
accommodation|discount,Sconto sugli alloggi,Sconti sugli alloggi,Alloggio,Alloggi,property_type,Scontiallogg
accommodation|familyfriendly,Sistemazione adatta alle famiglie,Sistemazioni adatte alle famiglie,Sistemazione,Sistemazioni,property_type,Sistemaz_Fam
accommodation|hotel,Alloggio in hotel,Alloggi in hotel,Alloggio in hotel,Alloggi in hotel,property_type,AlloggHotel
accommodation|lastminute,Sistemazione last minute,Sistemazioni last minute,Sistemazione,Sistemazioni,property_type,Sist_Last_Min
accommodation|lowcost,Sistemazione low cost,Sistemazioni low cost,Sistemazione,Sistemazioni,property_type,Sist_low_cost
accommodation|luxury,Alloggio di lusso,Alloggi di lusso,Alloggio,Alloggi,property_type,Alloggi_lusso
accommodation|near,Sistemazioni,Sistemazione,Sistemazioni,Sistemazione,property_type,Sistemazioni
accommodation|nearme,Sistemazione vicino a te,Sistemazioni vicino a te,Sistemazione,Sistemazioni,property_type,Sistemazioni
accommodation|petfriendly,Alloggio che accetta animali,Alloggi che accettano animali,Alloggio,Alloggi,property_type,Sistem_Animali
accomodation,Sistemazione,Sistemazioni,Sistemazione,Sistemazioni,property_type,Sistemazioni
adult_only|all_inclusive|resort,Miglior resort all inclusive solo per adulti,Migliori resort all inclusive solo per adulti,Resort,Resort,property_type,AllInclResAdult
adultonly,Hotel per soli adulti,Hotel per soli adulti,Hotel,Hotel,property_type,Hotelsoloadulti
adventure,Hotel per vacanze avventurose,Hotel per vacanze avventurose,Hotel,Hotel,property_type,Hotel_Avventura
affordable,Hotel a prezzi accessibili,Hotel a prezzi accessibili,Hotel,Hotel,property_type,Hotelprezziacc
affordable|allinclusive|resort,Resort all inclusive a prezzi accessibili,Resort all inclusive a prezzi accessibili,Resort,Resort,property_type,Resallinclecon
agrotourist,Agriturismo,Agriturismi,Hotel,Hotel,property_type,Agriturismi
airconditioning,Hotel con aria condizionata,Hotel con aria condizionata,Hotel,Hotel,property_type,Hotel_Aria_Cond
airport,Hotel vicino all'aeroporto,Hotel vicino all'aeroporto,Hotel,Hotel,property_type,Hotel_aeroport
airport|cheap,Hotel economico,Hotel economici,Hotel,Hotel,property_type,Hotel_Aerop
airport|hotel,Hotel vicino all'aeroporto,Hotel vicino all'aeroporto,Hotel,Hotel,property_type,Hotel_aeroport
airport|parking,Hotel con parcheggio,Hotel con parcheggio,Hotel,Hotel,property_type,ParcheggioAerop
airporttransportation,Hotel con servizio di trasferimento aeroportuale,Hotel con servizio di trasferimento aeroportuale,Hotel,Hotel,property_type,HoteltrasfAerop
albergo,Albergo,Alberghi,Albergo,Alberghi,property_type,Alberghi
all_inclusive,Hotel all inclusive,Hotel all inclusive,Hotel,Hotel,property_type,Hotel_All_Incl
all_inclusive_hotel,Hotel all inclusive,Hotel all inclusive,Hotel,Hotel,property_type,Hotel_All_Incl
all_inclusive_resort,Resort all inclusive,Resort all inclusive,Resort,Resort,property_type,Resort_All_Incl
all_inclusive|hotel,Hotel all inclusive,Hotel all inclusive,Hotel,Hotel,property_type,Hotel_All_Incl
all_inclusive|resort,Resort all inclusive,Resort all inclusive,Resort,Resort,property_type,Resort_All_Incl
all_inclusives,Hotel all inclusive,Hotel all inclusive,Hotel,Hotel,property_type,Hotel_All_Incl
allinclusive,Hotel all inclusive,Hotel all inclusive,Hotel,Hotel,property_type,Hotel_All_Incl
allinclusive|couple|resort,Resort all inclusive,Resort all inclusive adatti alle coppie,Resort,Resort,property_type,ResCoppAllIncl
allinclusive|familyfriendly|resort,Resort all inclusive adatti alle famiglie,Resort all inclusive adatti alle famiglie,Resort,Resort,property_type,ResFamAllIncl
allinclusive|honeymoon|resort,Resort all inclusive adatti alla luna di miele,Resort all inclusive adatti alla luna di miele,Resort,Resort,property_type,LunMielAllIncl
allinclusive|hotel,Hotel all inclusive,Hotel all inclusive,Hotel,Hotel,property_type,Hotel_All_Incl
allinclusive|resort,Resort all inclusive,Resort all inclusive,Resort,Resort,property_type,Resort_All_Incl
allinclusive|resort|top,Miglior resort all inclusive,Migliori resort all inclusive,Resort,Resort,property_type,Miglresortallin
anniversary,Hotel adatto agli anniversari,Hotel adatti agli anniversari,Hotel,Hotel,property_type,Anniversari
aparthotel,Aparthotel,Aparthotel,Aparthotel,Aparthotel,property_type,Aparthotel
aparthotels,Aparthotel,Aparthotel,Aparthotel,Aparthotel,property_type,Aparthotel
apartment,Appartamento,Appartamenti,Appartamento,Appartamenti,property_type,Appartamenti
aquarium,Hotel vicino a un acquario,Hotel vicino ad acquari,Hotel,Hotel,property_type,Hotel_Acquario
arcade,Hotel vicino al centro commerciale,Hotel vicini a centri commerciali,Hotel,Hotel,property_type,Hotel_CentrComm
