THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
snowshoeing,Hotel in der Nähe von Schneeschuhwanderwegen,Hotels in der Nähe von Schneeschuhwanderwegen,Hotel,Hotels,property_type,Hotels_Schnee
soccer,Hotel für Fußballfans,Hotels für Fußballfans,Hotel,Hotels,property_type,Hotels_Fußball
sports,Hotel für Sportfans,Hotels für Sportfans,Hotel,Hotels,property_type,Hotels_Sport
stadium,Hotel in der Nähe des Stadiums,Hotels in der Nähe des Stadiums,Hotel,Hotels,property_type,Hotels_Stadium
sunnyweather,Hotel mit sonnigem Wetter,Hotels mit sonnigem Wetter,Hotel,Hotels,property_type,Hotels_Sonnig
sunrise,Hotel mit Blick auf den Sonnenaufgang,Hotels mit Blick auf den Sonnenaufgang,Hotel,Hotels,property_type,Sonnenaufgang
sunsets,Hotel mit Blick auf den Sonnenuntergang,Hotels mit Blick auf den Sonnenuntergang,Hotel,Hotels,property_type,Sonnenuntergang
surfing,Hotel in der Nähe von Surfmöglichkeiten,Hotels in der Nähe von Surfmöglichkeiten,Hotel,Hotels,property_type,Hotels_Surfen
swimming,Hotel in der Nähe von Schwimmmöglichkeiten,Hotels in der Nähe von Schwimmmöglichkeiten,Hotel,Hotels,property_type,Hotels_Schwimmen
temples,Hotel in der Nähe von Tempeln,Hotels in der Nähe von Tempeln,Hotel,Hotels,property_type,Hotels_Tempel
tennis,Hotel für Tennisfans,Hotels für Tennisfans,Hotel,Hotels,property_type,Hotels_Tennis
terrace,Hotel mit Terrassen,Hotels mit Terrassen,Hotel,Hotels,property_type,Hotels_Terrasse
theater,Hotel in der Nähe von Theatern,Hotels in der Nähe von Theatern,Hotel,Hotels,property_type,Hotels_Theater
tonight,Hotel für die Nacht,Hotels für die Nacht,Hotel,Hotels,property_type,Hotels_Nacht
unescosite,Hotel in der Nähe von Unesco-Kulturstätten,Hotels in der Nähe von Unesco-Kulturstätten,Hotel,Hotels,property_type,Hotels_Unesco
walking,Hotel in einem begehbaren Bereich,Hotels in einem begehbaren Bereich,Hotel,Hotels,property_type,Hotels_Gehen
wedding,Hotel für Hochzeiten,Hotels für Hochzeiten,Hotel,Hotels,property_type,Hotels_Hochzeit
weekend,Hotel für das Wochenende,Hotels für das Wochenende,Hotel,Hotels,property_type,Hotels
wellness,Hotel mit Wellnesscenter,Hotels mit Wellnesscentern,Hotel,Hotels,property_type,Hotels_Wellness
wildlife,Hotel in der Nähe von Wildtierbeobachtungen,Hotels in der Nähe von Wildtierbeobachtungen,Hotel,Hotels,property_type,Hotels_Wildtier
windsurfing,Hotel in der Nähe von Windsurfmöglichkeiten,Hotels in der Nähe von Windsurfmöglichkeiten,Hotel,Hotels,property_type,Hotels_Windsurf
winery,Hotel in der Nähe von Weingütern,Hotels in der Nähe von Weingütern,Hotel,Hotels,property_type,Hotel_Weingüter
bar,Hotel mit Bar,Hotels mit Bars,Hotel,Hotels,property_type,Hotels_Mit_Bar
television,Hotel mit Fernsehen,Hotels mit Fernsehen,Hotel,Hotels,property_type,Hotels_mit_TV
yoga,Hotel in der Nähe von einem Yogastudio,Hotels in der Nähe von Yogastudios,Hotel,Hotels,property_type,Hotels_Yoga
sandbeach,Hotel in der Nähe von Sandstränden,Hotels in der Nähe von Sandstränden,Hotel,Hotels,property_type,HotelSandstrand
beachview,Hotel mit Blick auf den Strand,Hotels mit Blick auf den Strand,Hotel,Hotels,property_type,HotelsStrand
sea,Hotel am Meer,Hotels am Meer,Hotel,Hotels,property_type,HotelsamMeer
cathedral,Hotel in der Nähe einer Kathedrale,Hotels in der Nähe von Kathedralen,Hotel,Hotels,property_type,HotelsKathedral
childcare,Hotel mit Kinderbetreuung,Hotels mit Kinderbetreuung,Hotel,Hotels,property_type,HotelsKinder
coralreefs,Hotel in der Nähe von Korallenriffen,Hotels in der Nähe von Korallenriffen,Hotel,Hotels,property_type,HotelsRiff
dvdplayer,Hotel mit DVD-Player,Hotels mit DVD-Playern,Hotel,Hotels,property_type,HotelsDVDPlayer
segwaytours,Hotel mit Segway-Tour,Hotels mit Segway-Touren,Hotel,Hotels,property_type,HotelSegwayTour
festivals,Hotel für Festivals,Hotels für Festivals,Hotel,Hotels,property_type,HotelsFestivals
group,Hotel für Gruppe,Hotels für Gruppen,Hotel,Hotels,property_type,HotelsfürGruppe
horseracing,Hotel für Fans von Pferderennen,Hotels für Fans von Pferderennen,Hotel,Hotels,property_type,Pferderennen
horsebackriding,Hotel in der Nähe von Reitmöglichkeiten,Hotels in der Nähe von Reitmöglichkeiten,Hotel,Hotels,property_type,Hotels_Reiten
innertubing,Hotel in der Nähe von Reifenrutschen,Hotels in der Nähe von Reifenrutschen,Hotel,Hotels,property_type,HotelsRutschen
lazyriver,Hotel mit Stömungskanal,Hotels mit Stömungskanälen,Hotel,Hotels,property_type,Strömungskanal
livemusic,Hotel mit Livemusik,Hotels mit Livemusik,Hotel,Hotels,property_type,HotelsLivemusik
ruins,Hotel in der Nähe von Ruinen,Hotels in der Nähe von Ruinen,Hotel,Hotels,property_type,HotelsNahRuinen
newyear,Hotel für Reisen an Neujahr,Hotels für Reisen an Neujahr,Hotel,Hotels,property_type,HotelsNeujahr
nightclub,Hotel in der Nähe von Nachtclubs,Hotels in der Nähe von Nachtclubs,Hotel,Hotels,property_type,HotelsNachtclub
snorkeling,Hotel in der Nähe von Schnorchelmöglichkeiten,Hotels in der Nähe von Schnorchelmöglichkeiten,Hotel,Hotels,property_type,HotelSchnorcheln
snowmobileriding,Hotel in der Nähe von Schneemobilfahrten,Hotels in der Nähe von Schneemobilfahrten,Hotel,Hotels,property_type,HotelSchneemobil
snowtubing,Hotel mit Snowtubing in der Nähe,Hotels mit Snowtubing in der Nähe,Hotel,Hotels,property_type,HotelSnowtubing
nudebeach,Hotel in der Nähe von FKK-Stränden,Hotels in der Nähe von FKK-Stränden,Hotel,Hotels,property_type,HotelsFKKStrand
oceanview,Hotel mit Meerblick,Hotels mit Meerblick,Hotel,Hotels,property_type,HotelsMeerblick
overwater,Hotel über Wasser,Hotels über Wasser,Hotel,Hotels,property_type,HotelÜberWasser
paddleboarding,Hotel mit Paddleboarding in der Nähe,Hotels mit Paddleboarding in der Nähe,Hotel,Hotels,property_type,HotelsPadBoard
