THEME,SINGULAR,PLURAL,SINGULAR_SHORT,PLURAL_SHORT,CATEGORY,PLURAL_URL
allinclusive|familyfriendly|resort,All-Inclusive Family-Friendly Resort,All-Inclusive Family-Friendly Resorts,Resort,Resorts,property_type,AllIncFamResort
allinclusive|honeymoon|resort,All-Inclusive Honeymoon Resort,All-Inclusive Honeymoon Resorts,Resort,Resorts,property_type,AllIncHoneymoon
anniversary,Hotel for Anniversaries,Hotels for Anniversaries,Hotel,Hotels,property_type,Anniversaries
aparthotel,Aparthotel,Aparthotels,Aparthotel,Aparthotels,property_type,Aparthotels
aparthotels,Aparthotel,Aparthotels,Aparthotel,Aparthotels,property_type,Aparthotels
apartment,Apartment,Apartments,Apartment,Apartments,property_type,Apartments
archaeology,Hotel near Archaeological Sites,Hotels near Archaeological Sites,Hotel,Hotels,property_type,Archaeological
backpacker,Backpacker Hotel,Backpacker Hotels,Hotel,Hotels,property_type,Backpacker_Hotels
bargain,Bargain Hotel,Bargain Hotels,Hotel,Hotels,property_type,Bargain_Hotels
accommodation|bargain,Bargain on Accommodation,Bargains on Accommodation,Accommodation,Accommodation,property_type,Bargains_Accomm
beach,Beachfront Hotel,Beachfront Hotels,Hotel,Hotels,property_type,BeachfrontHotel
bedbreakfast,Bed and Breakfast,Bed and Breakfasts,Bed and Breakfast,Bed and Breakfasts,property_type,BedandBreakfast
bed_breakfast,Bed and Breakfast,Bed and Breakfasts,Bed and Breakfast,Bed and Breakfasts,property_type,BedandBreakfast
bandb,Bed and Breakfast,Bed and Breakfasts,Bed and Breakfast,Bed and Breakfasts,property_type,BedandBreakfast
best|hotel,Best Hotel,Best Hotels,Hotel,Hotels,property_type,Best_Hotels
best|deal|hotel,Best Hotel Deal,Best Hotel Deals,Hotel,Hotels,property_type,BestHotelDeals
blacksandbeach,Hotel near Black Sand Beach,Hotels near Black Sand Beaches,Hotel,Hotels,property_type,BlackSandBeach
boutique,Boutique Hotel,Boutique Hotels,Hotel,Hotels,property_type,Boutique_Hotels
accommodation|budget,Budget Accommodation,Budget Accommodation,Accommodation,Accommodation,property_type,Budget_Accomm
budget,Budget Hotel,Budget Hotels,Hotel,Hotels,property_type,Budget_Hotels
budget|hotel,Budget Hotel,Budget Hotels,Hotel,Hotels,property_type,Budget_Hotels
cabin,Cabin,Cabins,Cabin,Cabins,property_type,Cabins
camping,Camping,Camping,Camping,Camping,property_type,Camping
capsule,Capsule Hotel,Capsule Hotels,Hotel,Hotels,property_type,Capsule_Hotels
caravanpark,Caravan Park,Caravan Parks,Caravan Park,Caravan Parks,property_type,Caravan_Parks
casino,Casino Hotel,Casino Hotels,Hotel,Hotels,property_type,Casino_Hotels
central,Central Hotel,Central Hotels,Hotel,Hotels,property_type,Central_Hotels
chain,Chain Hotel,Chain Hotels,Hotel,Hotels,property_type,Chain_Hotels
chalet,Chalet,Chalets,Chalet,Chalets,property_type,Chalets
accommodation|cheap,Cheap Accommodation,Cheap Accommodation,Accommodation,Accommodation,property_type,Cheap_Accomm
cheap,Cheap Hotel,Cheap Hotels,Hotel,Hotels,property_type,Cheap_Hotels
hotel_cheap,Cheap Hotel,Cheap Hotels,Hotel,Hotels,property_type,Cheap_Hotels
cheap|hotel,Cheap Hotel,Cheap Hotels,Hotel,Hotels,property_type,Cheap_Hotels
cheap|hotel|near,Cheap Hotel,Cheap Hotels,Hotel,Hotels,property_type,Cheap_Hotels
cheap|resort,Cheap Resort,Cheap Resorts,Resort,Resorts,property_type,Cheap_Resorts
cheapest|hotel,Cheapest Hotel,Cheapest Hotels,Hotel,Hotels,property_type,Cheapest_Hotels
accommodation|cheapest,Cheapest Accommodation,Cheapest Accommodation,Accommodation,Accommodation,property_type,CheapestAccomm
cheap|deal|hotel,Cheap Hotel Deal,Cheap Hotel Deals,Hotel,Hotels,property_type,CheapHotelDeals
cheap|hotel|nearme,Cheap Hotel near You,Cheap Hotels near You,Hotel,Hotels,property_type,CheapHotelsNear
cheap|hotel|suites,Cheap Hotel Suite,Cheap Hotel Suites,Hotel Suite,Hotel Suites,property_type,CheapHotelSuite
cheap|hotel|nearme|suites,Cheap Hotel Suite near You,Cheap Hotel Suites near You,Hotel Suite,Hotel Suites,property_type,CheapSuitesnear
accommodation|cheap|lastminute,Cheap Last-Minute Accommodation,Cheap Last-Minute Accommodation,Accommodation,Accommodation,property_type,ChpLasMinAccomm
